Rank,Title,Artiste,ImageUri,LastPosition,HighestPosition,MusicLink
23,Holy Ground,Davido ft. Nicki Minaj ,https://i1.wp.com/legit9ja.com/wp-content/uploads/2020/11/Davido-A-Better-Time-Album_IMG.jpg?fit=768%2C768&ssl=1&resize=350%2C200,21,1,https://www.youtube.com/watch?v=JtEv_3Rwn1o&list=PLJYyuMTDI-ieHn0hVe7qOerAb6l93rx1I&index=4
24,Bad Influence,Omah Lay ,https://tooxclusive.com/wp-content/uploads/2020/05/Bad-Influence-artwork.jpeg,25,1,https://www.youtube.com/watch?v=o5KyLuuqFms
25,Abule,Patoranking,https://tooxclusive.com/wp-content/uploads/2020/07/Abule-artwork.jpeg,19,2,https://www.youtube.com/watch?v=TIKF16oagBY
26,Can't Relate,Omah Lay ,https://i2.wp.com/media.ghgossip.com/wp-content/uploads/2020/11/19162142/Omah-Lay-%E2%80%93-What-Have-We-Done-1.jpg?fit=1200%2C800&ssl=1,26,13,https://www.youtube.com/watch?v=l_FIWTaRZBE
27,Happiness,Davolee,https://tooxclusive.com/wp-content/uploads/2020/11/Happiness-artwork.jpeg,23,22,https://v.triller.co/JnlvM5
28,Zoom,Cheque,https://justnaija.com/uploads/2020/07/Cheque-Zoom-artwork.jpeg,17,2,https://www.youtube.com/watch?v=xkFKrYc_ero
29,Ponmo Sweet,MohBad ft. Naira Marley & Lil Kesh ,https://tooxclusive.com/wp-content/uploads/2020/10/Mohbad-Ponmo-Sweet-artwork.jpg,24,5,https://www.youtube.com/watch?v=xk4oK0QjlG4
30,Lagos Anthem,Zlatan ,https://www.naijaloaded.com.ng/wp-content/uploads/2020/11/Zlatan-Lagos-Anthem.jpg,27,11,https://www.youtube.com/watch?v=pKQOJ862ONQ
31,Confession,Omah Lay ,https://i2.wp.com/media.ghgossip.com/wp-content/uploads/2020/11/19162142/Omah-Lay-%E2%80%93-What-Have-We-Done-1.jpg?fit=1200%2C800&ssl=1,28,12,https://www.youtube.com/watch?v=_c0QDBgv8nY
32,Sorry,Mohbad,https://www.naijaloaded.com.ng/wp-content/uploads/2020/12/Mohbad-The-Light-EP.jpg,29,11,https://www.youtube.com/watch?v=QOJ8Kt5g-rE
33,My Life,Dj Manuel & Zlatan,https://www.naijaloaded.com.ng/wp-content/uploads/2021/01/dj-manuel.jpeg,22,22,https://www.youtube.com/watch?v=J01OnVaaSBw
34,Lo Lo,Omah Lay ,https://justnaija.com/uploads/2020/05/Omah-Lay-Lo-Lo-artwork.jpeg,44,5,https://www.youtube.com/watch?v=xYD2SQljwJo
35,Mapariwo,Zinoleesky ,https://tooxclusive.com/wp-content/uploads/2020/07/Zinoleesky-Mapariwo.jpg,49,4,https://www.youtube.com/watch?v=jx0wKf8SU7E
36,If You No Love,Chike ,https://justnaija.com/uploads/2020/02/[JustNaija.com]chike-forever-ft-m-i-abaga_3.jpg,31,31,https://www.youtube.com/watch?v=71-aBRC565w
